Sigla,Codigo,Município,Despesa,Receita,score_total,Receita-capital,Despesa-capital,score_capital,PIB
AC,1200013,Acrelândia,13449378,20941097,0.6422480018,"851,373",1460736,1.715742,83677
AC,1200054,Assis Brasil,,,#DIV/0!,"788,529",732039,0.928360,24381
AC,1200104,Brasiléia,17372693,27977415,0.6209541928,"3,210,334",3950346,1.230509,101848
AC,1200138,Bujari,7696779,12309574,0.6252677136,"1,365,250",2288991,1.676609,61618
AC,1200179,Capixaba,,,#DIV/0!,0,19082,#DIV/0!,61060
AC,1200203,Cruzeiro do Sul,55921434,82466086,0.6781143264,"6,889,633",10917092,1.584568,372521
AC,1200252,Epitaciolândia,12123098,19209985,0.6310831534,"1,689,572",2680987,1.586785,66907
AC,1200302,Feijó,,,#DIV/0!,"2,523,237",1218840,0.483046,118033
AC,1200328,Jordão,10876776,16725725,0.650302253,"1,474,039",868922,0.589484,21576
AC,1200336,Mâncio Lima,15678073,23070884,0.6795610103,"2,342,395",3244686,1.385200,55177
AC,1200344,Manoel Urbano,,,#DIV/0!,"774,689",1340042,1.729782,30133
AC,1200351,Marechal Thaumaturgo,,,#DIV/0!,"1,629,813",1858693,1.140433,50610
AC,1200385,Plácido de Castro,,,#DIV/0!,0,1401753,#DIV/0!,89317
AC,1200393,Porto Walter,10675558,16139069,0.6614729797,"1,234,820",1656482,1.341476,38740
AC,1200401,Rio Branco,217763730,476304680,0.4571941837,"6,730,559",54064315,8.032663,1923620
AC,1200427,Rodrigues Alves,,,#DIV/0!,"1,517,867",3076664,2.026966,104737
AC,1200435,Santa Rosa do Purus,10120966,15800150,0.6405613858,"471,030",1271748,2.699927,15945
AC,1200450,Senador Guiomard,18570186,27010798,0.6875097157,"921,638",2467451,2.677245,110743
AC,1200500,Sena Madureira,23804455,42756892,0.5567396026,"1,751,817",5139352,2.933726,175572
AC,1200609,Tarauacá,27380855,44810866,0.6110315917,"936,887",1926386,2.056157,129849
AC,1200708,Xapuri,,,#DIV/0!,0,1666565,#DIV/0!,78902
AC,1200807,Porto Acre,,,#DIV/0!,"1,518,235",1838340,1.210840,67247
AL,2700102,Água Branca,19624780,32614114,0.6017266099,"474,173",1840346,3.881172,30518
AL,2700201,Anadia,,,#DIV/0!,"703,680",1712265,2.433300,32869
AL,2700300,Arapiraca,156369241,319223473,0.4898425539,"20,654,127",23137418,1.120232,839462
AL,2700409,Atalaia,41007570,68877935,0.5953658443,"430,250",2840891,6.602884,101916
AL,2700508,Barra de Santo Antônio,17112961,26677000,0.6414874537,"195,705",6520830,33.319704,27345
AL,2700607,Barra de São Miguel,11444404,20129033,0.5685521235,"15,967,132",16340499,1.023383,23157
AL,2700706,Batalha,14626019,29809901,0.4906430136,"510,094",220845,0.432950,32847
AL,2700805,Belém,,,#DIV/0!,0,155922,#DIV/0!,9380
AL,2700904,Belo Monte,9522647,15122299,0.6297089171,"103,781",534897,5.154108,15426
AL,2701001,Boca da Mata,24976582,45379519,0.5503932792,"738,531",2407553,3.259921,73203
AL,2701100,Branquinha,13444032,21735120,0.6185395864,"829,840",1657944,1.997909,19578
AL,2701209,Cacimbinhas,10390056,18053783,0.5755057449,"742,096",660930,0.890626,19192
AL,2701308,Cajueiro,,,#DIV/0!,"1,165,889",2837091,2.433415,38253
AL,2701357,Campestre,,,#DIV/0!,"334,845",609970,1.821649,12587
AL,2701407,Campo Alegre,35398322,55227444,0.6409552831,"773,300",2048300,2.648778,93701
AL,2701506,Campo Grande,,,#DIV/0!,"230,970",126087,0.545902,15083
AL,2701605,Canapi,17185016,32208654,0.5335527557,"1,673,171",1791403,1.070663,26556
AL,2701704,Capela,22015746,32158094,0.6846097807,"604,209",1405122,2.325556,37274
AL,2701803,Carneiros,,,#DIV/0!,"2,254,982",1798414,0.797529,12264
AL,2701902,Chã Preta,9056696,14830417,0.6106838042,"1,567,546",1288373,0.821904,14311
AL,2702009,Coité do Nóia,10347906,19973667,0.5180774495,"467,990",769985,1.645302,16017
AL,2702108,Colônia Leopoldina,,,#DIV/0!,"226,400",588846,2.600910,49945
AL,2702207,Coqueiro Seco,7582132,13069188,0.5801532535,"650,000",1499352,2.306695,10048
AL,2702306,Coruripe,58271664,116540451,0.5000123404,"7,543,602",12875896,1.706863,240529
AL,2702355,Craíbas,19755083,33992326,0.5811630225,0,1104077,#DIV/0!,36935
AL,2702405,Delmiro Gouveia,57177373,88195149,0.6483051899,"1,395,945",8159104,5.844860,139753
AL,2702504,Dois Riachos,,,#DIV/0!,"542,790",883342,1.627410,16843
AL,2702553,Estrela de Alagoas,16019758,25934376,0.6177036115,"1,552,202",2156340,1.389214,25147
AL,2702603,Feira Grande,20472377,30881900,0.6629247878,"361,107",3240244,8.973098,34358
AL,2702702,Feliz Deserto,9109283,13347525,0.6824698255,"679,331",631170,0.929105,16497
AL,2702801,Flexeiras,,,#DIV/0!,"357,805",891223,2.490805,22935
AL,2702900,Girau do Ponciano,,,#DIV/0!,"1,332,356",3351468,2.515446,57514
AL,2703007,Ibateguara,17764749,25674020,0.691934856,"611,790",3253409,5.317855,26945
AL,2703106,Igaci,,,#DIV/0!,"195,000",2059294,10.560482,41649
AL,2703205,Igreja Nova,24410598,42411496,0.5755655987,"415,838",3330021,8.007986,63985
AL,2703304,Inhapi,,,#DIV/0!,0,1353441,#DIV/0!,26134
AL,2703403,Jacaré dos Homens,6652599,13820459,0.4813587396,"630,795",805889,1.277577,14211
AL,2703502,Jacuípe,8353574,13794413,0.6055766114,0,192961,#DIV/0!,14657
AL,2703601,Japaratinga,,,#DIV/0!,,,#DIV/0!,15172
AL,2703700,Jaramataia,7858635,13672300,0.5747851302,"399,542",714711,1.788827,11181
AL,2703759,Jequiá da Praia,15549968,27357078,0.5684075003,"1,899,319",3429279,1.805531,51895
AL,2703809,Joaquim Gomes,,,#DIV/0!,"121,770",570346,4.683797,34977
AL,2703908,Jundiá,8047975,12175559,0.6609943159,0,83889,#DIV/0!,11380
AL,2704005,Junqueiro,,,#DIV/0!,"207,600",1837605,8.851641,49537
AL,2704104,Lagoa da Canoa,16592601,31766401,0.5223317932,"483,413",1647041,3.407108,30732
AL,2704203,Limoeiro de Anadia,24917775,37660844,0.6616361425,"909,650",1712313,1.882387,40161
AL,2704302,Maceió,658472111,1405425149,0.468521651,"22,120,408",92960801,4.202490,5405296
AL,2704401,Major Isidoro,16808253,30052980,0.5592874075,"1,125,984",1300627,1.155103,36694
AL,2704500,Maragogi,28376613,47775271,0.5939602625,"2,017,757",2844840,1.409903,58004
AL,2704609,Maravilha,11072239,21485174,0.5153432113,"38,963",663036,17.016893,17122
AL,2704708,Marechal Deodoro,60300242,107383564,0.5615407037,"7,257,306",9865087,1.359332,338778
AL,2704807,Maribondo,12620655,22838914,0.5525943736,"316,982",1333301,4.206236,27315
AL,2704906,Mar Vermelho,,,#DIV/0!,"157,585",659599,4.185675,7186
AL,2705002,Mata Grande,19320649,42323527,0.4564990278,"232,000",1433657,6.179567,34935
AL,2705101,Matriz de Camaragibe,,,#DIV/0!,0,772296,#DIV/0!,50593
AL,2705200,Messias,17724766,29077338,0.6095732,"492,404",1297885,2.635816,30596
AL,2705309,Minador do Negrão,7889535,13157415,0.5996265303,"404,015",879190,2.176131,10891
AL,2705408,Monteirópolis,8359824,14618205,0.5718776006,"484,662",1084728,2.238111,11477
AL,2705507,Murici,26671236,43638434,0.6111868165,"570,677",3239309,5.676256,54936
AL,2705606,Novo Lino,13032602,21405219,0.6088516096,"109,177",6383939,58.473333,25099
AL,2705705,Olho d'Água das Flores,16620140,31277359,0.5313792688,"1,205,579",1808951,1.500483,39025
AL,2705804,Olho d'Água do Casado,11468216,17712674,0.6474582028,873,1085757,1243.679412,15062
AL,2705903,Olho d'Água Grande,,,#DIV/0!,"576,767",1174839,2.036940,8718
AL,2706000,Olivença,12733802,20407962,0.6239624608,"495,750",1884107,3.800518,17908
AL,2706109,Ouro Branco,9480398,18729113,0.5061850936,"609,150",1021823,1.677458,16111
AL,2706208,Palestina,,,#DIV/0!,,,#DIV/0!,7688
AL,2706307,Palmeira dos Índios,,,#DIV/0!,"1,215,745",3288602,2.705011,185919
AL,2706406,Pão de Açúcar,20892915,40729425,0.5129685836,"1,619,382",1354828,0.836633,41742
AL,2706422,Pariconha,11184776,18802921,0.5948424988,"815,232",1397179,1.713842,15410
AL,2706448,Paripueira,10533629,17585675,0.5989891649,"100,006",398398,3.983723,25059
AL,2706505,Passo de Camaragibe,,,#DIV/0!,"40,000",734010,18.350250,30805
AL,2706604,Paulo Jacinto,6642347,13352791,0.4974501334,"880,349",838476,0.952436,12152
AL,2706703,Penedo,48395689,87125730,0.5554695413,"4,942,116",9528036,1.927926,158574
AL,2706802,Piaçabuçu,20704854,29260575,0.707602435,"1,048,970",1512310,1.441710,34884
AL,2706901,Pilar,12798341,70755745,0.180880592,"1,031,049",3219102,3.122163,91426
AL,2707008,Pindoba,7170851,10293976,0.6966065233,"145,431",308015,2.117946,6985
AL,2707107,Piranhas,32742258,58866576,0.5562113486,"2,475,949",4273777,1.726117,35831
AL,2707206,Poço das Trincheiras,14774099,25722087,0.5743740517,"445,000",1134739,2.549975,19357
AL,2707305,Porto Calvo,,,#DIV/0!,"989,978",1983906,2.003990,66278
AL,2707404,Porto de Pedras,11211379,16832381,0.6660601884,"18,008,236",16808588,0.933383,16685
AL,2707503,Porto Real do Colégio,19243977,27441781,0.7012656029,0,405560,#DIV/0!,42185
AL,2707602,Quebrangulo,12598744,23621997,0.5333479701,"2,934,457",1274648,0.434373,21586
AL,2707701,Rio Largo,,,#DIV/0!,"1,242,441",2699221,2.172515,195729
AL,2707800,Roteiro,9523832,15337068,0.6209682427,"196,020",1739390,8.873533,18609
AL,2707909,Santa Luzia do Norte,,,#DIV/0!,"145,431",767595,5.278070,27768
AL,2708006,Santana do Ipanema,25850107,77375020,0.3340885267,"272,492",5010796,18.388779,98277
AL,2708105,Santana do Mundaú,,,#DIV/0!,0,434970,#DIV/0!,24297
AL,2708204,São Brás,8981976,14142643,0.6350988455,"5,900",291272,49.368136,12492
AL,2708303,São José da Laje,,,#DIV/0!,0,896092,#DIV/0!,71045
AL,2708402,São José da Tapera,33872652,47282246,0.7163926091,"76,957",2044417,26.565737,43710
AL,2708501,São Luís do Quitunde,,,#DIV/0!,,,#DIV/0!,97567
AL,2708600,São Miguel dos Campos,61224553,103504684,0.5915148036,"832,620",4105788,4.931167,271999
AL,2708709,São Miguel dos Milagres,9110177,14337453,0.6354110972,"251,349",1387195,5.519002,14743
AL,2708808,São Sebastião,27480951,51538054,0.533216698,"682,579",3710258,5.435648,61362
AL,2708907,Satuba,,,#DIV/0!,"196,515",918191,4.672371,27950
AL,2708956,Senador Rui Palmeira,13585095,21542904,0.6306064852,"1,114,382",1432885,1.285811,17831
AL,2709004,Tanque d'Arca,7088124,13300656,0.5329153984,"1,167,790",2139738,1.832297,10211
AL,2709103,Taquarana,16917820,32609763,0.5187961698,"1,533,681",2180665,1.421851,33053
AL,2709152,Teotônio Vilela,,,#DIV/0!,"3,413,892",7355418,2.154555,95853
AL,2709202,Traipu,,,#DIV/0!,"1,014,363",2907085,2.865921,34735
AL,2709301,União dos Palmares,56333740,93513893,0.6024103872,"582,650",2333596,4.005142,169486
AL,2709400,Viçosa,24796017,37623777,0.6590517827,"3,054,310",1970750,0.645236,46169
AM,1300029,Alvarães,15618789,23907074,0.6533124565,"196,515",3268386,16.631738,28105
AM,1300060,Amaturá,9260907,16625492,0.5570305255,"1,139,080",1247498,1.095180,19172
